"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33484","myntra","chromium","2026-06-12","passed","2026-06-12","","practice\myntra.spec.js","",""
"","30301","e2e","chromium","2026-06-12","broken","2026-06-12","","practice\orangeHRM.spec.js","",""
